TransientID,CatalinaID,MagAvg,RaAvg,DecAvg
910261230034129795,1123003046299,18.487000000000002,6.65448,24.48761
1211131320034233281,1132003040258,18.229,6.706869999999999,32.61915
712181350024142260,1135003067050,20.752,6.72849,36.33266
712181350024142260,1135003067050,20.752,6.72849,36.33266
1107011040034131568,1104003042544,19.775,6.8887100000000006,4.98687
1107011040034131568,2104007017891,19.846,6.88893,4.9866
1201030070034134767,1007003045309,18.438,6.951630000000001,-5.93317
1510011150034109982,1115003016166,21.55,6.98009,14.872810000000001
1510011150034109982,2114007018578,21.564,6.980010000000001,14.872810000000001
1409251070034124903,1107003032808,19.96,7.05024,7.16149
1409251070034124903,2107007016241,20.373,7.05045,7.161160000000001
1409251070034124903,2107007016137,22.541999999999998,7.05087,7.162719999999999
1001161120034110404,2112007005197,20.962,7.078180000000001,12.10735
1409061260034240176,1126003064362,19.27,7.219110000000001,27.93212
1111271070034113062,1107003015772,21.324,7.260039999999999,6.40194
1111271070034113062,2105007027199,20.857,7.260280000000001,6.40205
1310091210034112233,1121003016142,21.178,7.34957,20.51501
1011111150034118129,1115003024478,21.245,7.36671,15.285210000000001
1112241180034118508,1118003025845,19.94,7.611489999999999,18.14484
1209251120034120839,1112003027393,19.778,7.66907,12.5326
1209251120034120839,2112007015668,20.151,7.6688,12.53229
1209251120034120839,2112007015601,21.635,7.669919999999999,12.532760000000001
1509241040034112180,2103008015285,16.064,7.6994,3.78338
1210191210034106470,1121003007380,20.248,7.755780000000001,20.09583
1210141210034105779,1121003007380,20.248,7.755780000000001,20.09583
801010040034114166,1004003025210,21.105999999999998,7.79971,-4.1679699999999995
1309021090034133655,1109003040575,20.417,7.8852,10.46912
912201320034112505,1132003018211,17.938,8.0151,31.75292
1310250070034110542,1007003011638,19.652,8.06888,-7.78132
1310250070034110542,3007004002568,21.101999999999997,8.068389999999999,-7.781210000000001
909160120034110694,1012003013454,19.55,8.11191,-13.336479999999998
909160120034110694,3013004008181,20.706999999999997,8.1117,-13.336520000000002
1410181040034109229,2103008006168,21.337,8.22052,3.47836
