Class,ObsCount,amplitude,beyond1st,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,kurtosis,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,pair_slope_trend_last_30,percent_amplitude,percent_difference_flux_percentile,poly1_t1,poly2_t1,poly2_t2,poly3_t1,poly3_t2,poly3_t3,poly4_t1,poly4_t2,poly4_t3,poly4_t4,skew,small_kurtosis,std,stetson_j,stetson_k
CV,300,3.1815499999999997,0.18333333333333332,0.08944313784169497,0.1588143991929371,0.26334089323084325,0.3526862801569062,0.5043390531772857,32.421759840741814,10.054861781988665,0.3563782444444462,0.11333333333333333,0.49333333333333335,0.5,138371.54478459066,3.7282239348049235,-3.905240284836008e-05,-9.893860098035152e-05,3.1208489477294815e-07,-0.00039330794043802397,2.700702861851214e-07,1.945207726461851e-10,-0.0004450255850284226,5.96041798561028e-07,2.486722031643057e-10,-1.5686405180380772e-13,-4.72661943316808,-3.030336926310081,0.6703276248746745,1.5501170628779677,0.26800819271962073
Flare,5,0.52745,0.2,0.36300775661672796,0.6352635740792743,0.9075193915418202,0.9421996197136374,0.9768798478854551,-2.577138656315533,6.018968271078802,0.3999600000000008,0.2,0.4,0.06666666666666667,3.936282430594494,3.9175936749313025,7.073935237792725e-05,9.478948111204712e-05,7.341977781976566e-08,0.0009328413893941677,-1.6942898112162947e-07,-6.16953456579113e-10,47.148528966140255,0.06777531377119171,-4.265183195885799e-05,-4.025035660917602e-08,-0.22609521524836187,-8.0,0.4760897026821735,-0.5893938245615118,0.89668542057193
CV,125,2.1864999999999997,0.28,0.0005493303198459224,0.0010567049268516275,0.0016686041967050305,0.003185325884256064,0.029971712986380475,3.83215809400915,5.818655694975002,0.6044745087999986,0.088,0.464,0.5,2094.0770523651763,794.3887854155087,5.4674959515434804e-05,0.00010295267796705179,2.0257430855667254e-07,-0.00012708002625776065,2.2171039916843598e-07,1.3832434412724948e-10,-0.00019564255135973832,7.64187528359601e-07,1.4342615944294266e-10,-2.6255981783445196e-13,-2.060422863156446,-3.073970411835266,0.9294438384553316,4.068118662400569,0.46338199800279467
HPM,130,0.07430000000000003,0.36923076923076925,0.19487715628311628,0.2874813927632847,0.4321988379640342,0.608367719446203,0.7904918093620956,-0.4032849338889486,0.6506060973985893,0.02500177514792919,0.8461538461538461,0.5384615384615384,0.6,0.23069356007505643,0.12573716699228504,1.5280520864082733e-06,3.993140589749405e-07,-6.417494539648663e-09,-1.1916445266165323e-05,-6.540517368118242e-09,7.323504923838425e-12,-9.255771848387864e-06,-1.7894223055499325e-08,6.029456604255372e-12,5.539901901896431e-15,-0.2129021283439751,-3.071050688976378,0.030395986547751514,0.17750477250719793,0.8251122935776747
SN?,28,0.9427000000000003,0.2857142857142857,0.08560793496505448,0.14589544730195844,0.22125819643383168,0.3511127900650111,0.680255238360677,-0.35896915446225464,4.227601989285185,0.3936020408163265,0.10714285714285714,0.42857142857142855,0.4,10.999658036329508,7.217455308546883,-0.00018944192834466226,-0.000191716002549255,3.3931812086227023e-07,-0.0003613043940773785,3.4621725813213634e-07,1.343415593690675e-10,-0.00035578724330538326,8.093757283753493e-07,1.251289593270505e-10,-2.561433628060043e-13,-0.07907744045782651,-3.3646153846153846,0.49798463856962777,0.3011231952611884,0.7195879118412282
SN?,31,2.1422000000000008,0.3870967741935484,0.03103183400645432,0.052242504888561685,0.09936722239952568,0.222070259533523,0.3272581608587263,9.874133579777606,2.6621979292776676,0.5338736732570244,0.0967741935483871,0.41935483870967744,0.43333333333333335,4347.104768927285,17.57746381944171,-0.0001803760918232511,-0.00020162368974305735,8.7375920843478e-08,-0.0009901297858223245,-1.5553803362703635e-07,5.64475058936711e-10,-0.0009567643837346595,-2.265633794874785e-07,5.309780405344015e-10,4.0539416909024794e-14,-2.654352336177249,-3.3251231527093594,0.8272702346641576,0.9294254161249491,0.33071614966153134
AGN?,68,1.3099499999999988,0.36764705882352944,0.10299888956855172,0.18883253817716447,0.35912189665034006,0.4760370084285177,0.6657981272569645,-0.5527566239723396,9.117752893198952,0.463101124567474,0.1323529411764706,0.45588235294117646,0.5,15.798614920848394,3.92093075116343,-0.00035659537899266274,-0.0003331282879776339,2.6018376708722895e-08,-0.0004432497954959994,2.8883396299547483e-07,1.6971232567077156e-10,-0.0007810551255167858,4.2948005929082083e-07,7.538805537212236e-10,2.1457206661395043e-13,0.18403487294836532,-3.139160839160839,0.561329346708592,0.4331097909438938,0.7532930525156075
SN,224,1.8040000000000003,0.26339285714285715,0.007865260033036454,0.015377869211020091,0.026494517597330836,0.04361116888722913,0.0779300864099979,3.233912519052498,10.929344899921363,0.40510131536989846,0.13839285714285715,0.48660714285714285,0.5,160.696252205289,42.4518768517313,-0.0003390497485757784,-0.0002216620128118019,-3.5984606852081347e-07,0.00020547880705764837,-2.28217879894517e-07,-2.8704619580846654e-10,-1.3504560814916675e-06,4.154315997549535e-07,-6.320160556325191e-11,-3.266277264016925e-13,-1.4335810425082014,-3.0407851290204233,0.6143432848469749,1.5359379640948545,0.4992069288758979
SN,141,1.5888000000000009,0.41843971631205673,0.038064447386246196,0.07767821312861659,0.12237826328345906,0.2189365525905587,0.7405481645285176,-0.6092328217973488,13.181156875818575,0.6137029827473468,0.04964539007092199,0.48226950354609927,0.5333333333333333,70.76290320547737,30.937432529771762,7.758993206181735e-05,4.553565073291322e-06,3.2962205646802996e-07,0.00035984736720480383,3.784309812444229e-07,-2.5045047860634916e-10,0.00020942491780383905,1.196544658323923e-06,-9.480736311457899e-11,-4.1840150719086875e-13,-0.319728689641319,-3.065373787926181,0.7438658900772814,1.7914413221417835,0.6851733336243183
CV,115,1.3720999999999997,0.3130434782608696,0.09648790651514738,0.15376855372779413,0.22914965599903697,0.34928036839265875,0.47842438573624185,0.1751795496180213,13.741179634045922,0.4053365141776936,0.06956521739130435,0.46956521739130436,0.5,15.0398388250841,6.0585993435649215,-4.7580364581369037e-05,-1.1054795042446496e-05,1.6451646822650094e-07,-5.084966341928391e-05,1.7450094432971686e-07,2.5931622795424125e-11,-0.0003725460342760805,-1.0683579814897254e-06,3.633762708948036e-10,6.045455874912383e-13,0.043150911177508064,-3.0805941845764853,0.5104144784150855,3.0003156060632263,0.7682551976944563
